STASIUN;TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
Stasiun Meteorologi Radin Inten II;07/04/2021;25.2;34.2;28.7;72;0;2.3;3;230;1;W 
Stasiun Meteorologi Radin Inten II;08/04/2021;23.6;34.4;28.3;74;-;4.6;4;20;1;C 
Stasiun Meteorologi Radin Inten II;09/04/2021;23.2;33.6;27.3;83;3;9.2;7;210;2;NW
Stasiun Meteorologi Radin Inten II;10/04/2021;23.2;33;26.1;88;28;7.5;4;250;1;C 
Stasiun Meteorologi Radin Inten II;11/04/2021;23.8;33.4;27.4;83;1;5.6;5;150;2;C 
Stasiun Meteorologi Radin Inten II;12/04/2021;-;32.4;26.4;86;0;6;4;70;1;C 
Stasiun Meteorologi Radin Inten II;13/04/2021;23.2;33;26.1;88;49;5.5;4;190;1;C 
Stasiun Meteorologi Radin Inten II;14/04/2021;-;32.6;26.6;85;8888;3.2;6;310;2;C 
Stasiun Meteorologi Radin Inten II;15/04/2021;23.2;34;26.3;82;0;5;7;150;2;C 
Stasiun Meteorologi Radin Inten II;16/04/2021;21.8;33.4;27.2;82;9.5;8.4;4;120;2;C 
Stasiun Meteorologi Radin Inten II;17/04/2021;22.6;33.4;27.4;80;0;7.2;4;320;1;C 
Stasiun Meteorologi Radin Inten II;18/04/2021;23.6;33.2;27.4;80;-;6.1;6;120;1;C 
Stasiun Meteorologi Radin Inten II;19/04/2021;-;33.8;27.9;80;-;4.8;5;90;2;E 
Stasiun Meteorologi Radin Inten II;20/04/2021;24;31.6;26.6;86;30.2;9;3;100;1;C 
Stasiun Meteorologi Radin Inten II;21/04/2021;-;33.4;27.4;79;-;2.9;4;120;2;E 
Stasiun Meteorologi Radin Inten II;22/04/2021;23;33.6;27.4;77;-;9;4;140;1;C 
Stasiun Meteorologi Radin Inten II;23/04/2021;23;33.6;28;75;-;8.3;6;130;1;C 
Stasiun Meteorologi Radin Inten II;24/04/2021;23;33.2;27.2;74;-;9.6;7;100;2;C 
Stasiun Meteorologi Radin Inten II;25/04/2021;-;33.8;27.9;75;0;8.5;6;150;2;C 
Stasiun Meteorologi Radin Inten II;26/04/2021;23.4;33.4;27.7;78;-;8.9;5;120;2;SE
Stasiun Meteorologi Radin Inten II;27/04/2021;-;34;28.5;75;-;9;5;100;2;C 
Stasiun Meteorologi Radin Inten II;28/04/2021;23;34.2;27.2;80;0;9.4;6;100;1;C 
Stasiun Meteorologi Radin Inten II;29/04/2021;-;30.6;26.9;84;8888;4.6;5;100;2;C 
Stasiun Meteorologi Radin Inten II;30/04/2021;24.2;32.8;27.1;85;0;0;9;330;2;C 
Stasiun Meteorologi Radin Inten II;01/05/2021;22.8;33.6;27.3;82;14.2;3.8;4;60;2;C 
Stasiun Meteorologi Radin Inten II;02/05/2021;-;31.9;27.5;85;7.5;7;5;130;1;C 
Stasiun Meteorologi Radin Inten II;03/05/2021;23.4;33.8;25.6;89;5.2;3.9;5;70;1;C 
Stasiun Meteorologi Radin Inten II;04/05/2021;23;34;27.1;83;7.5;4;6;140;1;C 
Stasiun Meteorologi Radin Inten II;05/05/2021;23.5;34;27.8;83;0;9;4;100;1;C 
